id,title,short,address,lat,lng,anchorWork,year,director,mediaType,primaryGenre,routeChapter,song,screenOrder,screenTime,routeOrder,shotFacing,bestTime,visitMinutes,accessibility
traffic-interchange,The Opening Freeway,Another Day of Sun,"Harbor (110) / Century (105) Freeway interchange, Los Angeles, CA",33.939,-118.281,La La Land,2016,Damien Chazelle,Film,Musical & Romance,South LA & the Harbor Freeway,Another Day of Sun,1,0:00:36,14,"Northeast, along the elevated ramp deck","Weekday, outside rush hour",5,"No pedestrian access to the ramp itself; it is an active freeway. View only from public streets nearby, and do not stop on the freeway."
courtyard-apartments,Mia's Courtyard Apartments,"Someone in the Crowd, part 1","1728 E. 3rd St, Long Beach, CA 90802",33.7701,-118.1745,La La Land,2016,Damien Chazelle,Film,Musical & Romance,Long Beach detour,Someone in the Crowd,2,0:12:09,15,"East, down the centerline of E. 3rd St",Morning,15,"Public street; the courtyard itself is private residential property, so stay outside the gate."
hollywood-murals,The Long Walk Home,Mia's route past two Hollywood murals,"Vine St & Argyle Ave, then 1661 Wilcox Ave, Hollywood, CA",34.1016,-118.3287,La La Land,2016,Damien Chazelle,Film,Musical & Romance,Hollywood,Someone in the Crowd (continued),3,0:15:24 - 0:16:49,8,"Multiple: east on Vine, south on Argyle, then Wilcox Ave",Late afternoon,30,"Public sidewalks throughout; the murals are on private building walls, viewable from the street."
smoke-house,Lipton's (The Smoke House),Where Mia first hears Sebastian play,"4420 Lakeside Dr, Burbank, CA 91505",34.1497,-118.3339,La La Land,2016,Damien Chazelle,Film,Musical & Romance,Burbank studio district,Mia & Sebastian's Theme,4,0:16:54 - 0:21:03,10,"West, entering from the lounge doorway",Evening (dinner service),60,"Public restaurant, reservations recommended."
warner-bros-backlot,Walking Between the Sound Stages,"The studio tour, and the 'I hate jazz' scene","Avenue D, Warner Bros. Studios, Burbank, CA 91522",34.1454,-118.339,La La Land,2016,Damien Chazelle,Film,Musical & Romance,Burbank studio district,Study & Jazz,6,0:42:06,11,"Southeast, along Avenue D",Per studio tour schedule,20,"Access only via a paid, scheduled Warner Bros. Studio Tour; no public walk-up access to the backlot."
lighthouse-cafe,The Lighthouse Jazz Club,Sebastian's jazz education,"30 Pier Ave, Hermosa Beach, CA 90254",33.8622,-118.3998,La La Land,2016,Damien Chazelle,Film,Musical & Romance,South Bay coast,Study & Jazz,7,"0:43:18, reprised 1:00:44",12,"Facing the bandstand, interior","Evening, during a live set",90,"Public venue, cover charge likely on live music nights."
hermosa-pier,The Pier,City of Stars,"Hermosa Ave & Pier Ave, Hermosa Beach, CA 90254",33.8617,-118.4008,La La Land,2016,Damien Chazelle,Film,Musical & Romance,South Bay coast,City of Stars,8,0:46:39,13,"West, toward the ocean horizon",Sunset,20,"Public pier, open to all."
angels-flight,Angels Flight,A ride and a kiss,"351 S Hill St, Los Angeles, CA 90013",34.0518,-118.2503,La La Land,2016,Damien Chazelle,Film,Musical & Romance,Downtown Los Angeles,City of Stars,9,0:47:20 - 0:48:10,2,"Facing the ascending car, from the lower station","Late afternoon, golden hour",15,"Public funicular, small fare; operating hours may vary."
rialto-theatre,The Rialto Theatre,Their first real date,"1023 Fair Oaks Ave, South Pasadena, CA 91030",34.1136,-118.1489,La La Land,2016,Damien Chazelle,Film,Musical & Romance,South Pasadena,First Date,11,"0:49:11, 0:52:33, 1:11:44",5,"Facing the marquee, street level",Any time (exterior only),15,Exterior viewing from the public sidewalk; the building itself has been closed since 2010 and its future use is undecided.
griffith-observatory,The Observatory,The Planetarium waltz,"2800 E Observatory Rd, Los Angeles, CA 90027",34.1184,-118.3004,La La Land,2016,Damien Chazelle,Film,Musical & Romance,Griffith Park,Planetarium,12,0:54:43,6,"South, approaching on the pedestrian path",Late afternoon into evening,90,Free public grounds; planetarium shows are ticketed and can sell out on busy days.
